visitor,home_geohash,home_cbg
9f263c40a64cfafdd0158bda3a6539b7296749737553c44aca559ead0190e20b,dr47rjn,421010098023
25740e88788d712fbb0bf210fec2bacafde8cbdfb5397c1a7226ce8d99693951,dr47rbq,421010081012
faa3b6dd2eda5abfd8d075941ddfc382e0e8b2b437d7501b883f6098f8d73d52,dr47ruy,421010112004
3ad85d4f6caf6ed64e16ca339631415e4fc221b8adf7ac1223be3ec920f57f42,dr47rt6,421010115004
5b4c4533a61b4ff8575ba71049a1e5b3e9e0f48ce191973adb7144805b6349ff,dr47xyy,420912047023
6c946b0fc679b781504c9d5c40a0ee5928fba6e41b8ceda8410390a449d43a67,dr47zvv,421010384002
3cf278298ed7972cbab4e23777d7141697046910491a9da78eb9f8f21e01f85b,dr47rbs,421010081013
54bc310527b006bcbfe28b5386fb989769cd3c0cfdf54d06db498b0d9e5b5891,dr47q3g,420454011032
38dd4f80f53bf603ce3ba3b74eac7cc0a803c34b6a0a5c2b282f4ae1aea890ac,dr47rb5,421010082003
29fe351bbf561bbf82782a32f24ce193cff7e1a7a6fada6c9bc3e861b20e47f6,dr47rgj,421010095003
5142e884a4b7d4a599712de32a272f6da905e9a2158353dcff9b87eceba58482,dr47rcx,421010084005
6660e077dbd5b83f623bf0ab6d5966b6ee21c83d8b9076eb4a977da2e79403ea,dr47rtc,421010115002
b75de67d020946baf8ea3ddcaca775090958864e3842125436e7f54017c488d9,dr47rzt,421010118006
d0f68dc819466f499ed7a3d7391f42a364c0804e8f9898288d4b68852c2f4b4c,dr47rv3,421010114004
15f8a94faf664ccf1848cf9866a1b6190ea276f43c6df1e2bd035b61c74b295b,dr47zgr,421010218002
21e3eda8518dee5eb3a39fe982b32d12871b7a4d90cf0a63ced84fe7bf2eda3f,dr47pfq,421010060003
fb6e7469bc1f2af88b90ea7eb101d5122ab80029ff7d576387d3909ecdcddbaf,dr47rft,421010084006
00d4b0c0d2860beaa6fa262a834884070f0b06769a5e0391c5e041f6c7323df0,dr47ruw,421010112004
2fb354b6e42e6451f976d7ee4077767604b597f2609f1f0367c03f62489e65aa,dr47xyy,420912047023
