safegraph_place_id,latitude,longitude,location_name,street_address,raw_visit_counts,distance_from_home,weighted_visit_counts,count_home_cbgs,visits_top_10_hours
sg:648cae4bc65b4b6faf5c5baab05228b5,39.926541,-75.14601400000002,Bagel Bagel,1600 S Columbus Blvd,35,2222.0,350.0,3,1.9
sg:6e979d452e8a405d82a49c8cf41e5517,40.043976,-75.102254,Rita's Italian Ice,5901 Rising Sun Ave,19,542.0,171.0,3,1.2
sg:6f92a7af3e7743f9bcb2250c32318ff6,39.970961,-75.158186,John's Seafood,1326 W Girard Ave,34,8297.0,646.0,5,1.4
sg:79d0f74af2564b9fbd6dff018d94116d,40.066788,-74.982609,Philadelphia Federal Credit Union,3799 Clarendon Ave,29,3340.0,406.0,5,1.2
sg:7f80c832d0534108bf4be9fd89ae5255,39.968997,-75.178485,Fairmount Framing,754 N 25th St,10,9433.0,160.0,1,1.0
sg:ac80183a14004d10b8adc40d5540fd6d,39.934328,-75.16722800000002,LUKOIL North America,1243 S Broad St,11,1233.0,55.0,3,1.1
sg:c97f2eef849c4ea6b93899982153d9f6,39.925344,-75.169014,Dollar Value,2007 S Broad St,30,1260.0,390.0,3,1.7
sg:00a5afb8785f4e009a5c9bdbe7e1d607,39.98325,-75.161108,Carver Hs,1600 W Norris St,44,10840.0,5852.0,3,1.9
sg:00eb1a62629944d4843f51fc61a4bbf7,39.953982,-75.16085,Pho Street,1230 Arch St,11,8373.0,143.0,1,1.1
sg:0a071e0b8ffa47958bbae0e08d88194c,40.026628,-75.175135,Wissahickon Playground,5326 Pulaski Ave,104,5008.0,7072.0,9,3.3
sg:109c7fb4143d4820ba7fc942914d536b,39.966885,-75.178032,Philadelphian Pharmacy,2401 Pennsylvania Ave,24,10651.0,516.0,4,1.2
sg:1b84bd42c9cf494fa676a6e160017319,39.925357,-75.176264,Sunrise,2048 S 18th St,15,2563.0,285.0,1,1.1
sg:4aff0fb1cf9e4e3fb711d19a320ed0ce,40.120297,-75.01633100000002,Art of Perfume,11801 Bustleton Ave,29,5163.0,290.0,8,1.7
sg:82ec0b8eb3df4014ae442d9c1808be07,40.072833,-75.199042,Winston Park,181 E Willow Grove Ave # 85,33,10192.0,4950.0,1,1.4
sg:88087d973ab14007ba89bae251ed7b31,39.954487,-75.14616600000002,Kisso Sushi,205 N 4th St,41,16565.0,4920.0,5,2.0
sg:9ced6e0e84be4678b3da63d759665aff,39.960597,-75.154904,Roots Philly Yoga,466 N 10th St Directly Across From El Purepecha,10,29580.0,365.0,3,1.0
sg:b0ea4b4c511548baa17b4222e995841b,40.014028,-75.067619,Rite Aid,5272 Torresdale Ave,55,1771.0,1100.0,2,2.0
